19-08-2019:19:10:21,972 INFO [test_01.py:16] 切换输入法
19-08-2019:19:10:27,164 INFO [test_01.py:19] 切换皮肤
19-08-2019:19:24:50,918 INFO [test_01.py:44] 搜索到皮肤
19-08-2019:19:46:18,731 INFO [test_01.py:10] 切换输入法
19-08-2019:19:46:23,807 INFO [test_01.py:13] 切换皮肤
19-08-2019:19:46:42,588 INFO [test_01.py:10] 切换输入法
19-08-2019:19:46:47,674 INFO [test_01.py:13] 切换皮肤
19-08-2019:19:50:49,813 INFO [test_01.py:13] 切换皮肤
19-08-2019:19:53:04,264 INFO [test_01.py:13] 切换皮肤
19-08-2019:19:54:23,430 INFO [test_01.py:13] 切换皮肤
19-08-2019:20:01:30,785 INFO [test_01.py:13] 切换皮肤
19-08-2019:20:05:27,475 INFO [test_01.py:13] 切换皮肤
19-08-2019:20:06:51,547 INFO [test_01.py:13] 切换皮肤
19-08-2019:20:25:15,678 INFO [test_01.py:44] 搜索到皮肤
